mode,fanin,bytes,min_us,p50_us,p95_us,p99_us,verify
push_fence,16,8192,3.604,3.781,3.812,3.824,ok
push_fence,16,16384,4.177,4.193,4.225,4.398,ok
push_fence,16,32768,5.004,5.037,5.245,5.255,ok
push_fence,16,65536,6.687,6.900,7.112,7.137,ok
push_fence,16,131072,10.197,10.436,10.895,11.080,ok
push_fence,32,4096,3.485,3.618,3.765,3.817,ok
push_fence,32,8192,3.906,3.947,4.164,4.196,ok
push_fence,32,16384,4.633,4.741,5.722,5.790,ok
push_fence,32,32768,6.096,6.219,7.020,7.059,ok
push_fence,32,65536,8.872,9.085,9.267,9.296,ok
push_fence,32,131072,14.555,14.766,15.015,15.678,ok
pull,1,4096,2.259,2.268,2.273,2.281,ok
pull,1,8192,3.146,3.160,3.169,3.173,ok
pull,1,16384,4.907,4.929,4.945,4.948,ok
pull,1,32768,8.415,8.468,8.498,8.505,ok
pull,1,65536,15.404,15.454,15.489,15.511,ok
pull,1,131072,29.303,29.387,29.458,29.481,ok
pull,2,4096,2.602,2.681,2.686,2.709,ok
pull,2,8192,3.450,3.575,3.592,3.718,ok
pull,2,16384,5.217,5.342,5.361,5.412,ok
pull,2,32768,8.726,8.885,8.918,8.958,ok
pull,2,65536,15.735,15.860,15.920,15.961,ok
pull,2,131072,29.686,29.796,29.870,29.939,ok
pull,4,4096,3.054,3.137,3.286,3.313,ok
pull,4,8192,3.785,3.812,3.990,4.093,ok
pull,4,16384,5.552,5.730,5.854,5.986,ok
pull,4,32768,9.545,9.719,9.889,9.906,ok
pull,4,65536,16.656,16.825,16.915,16.997,ok
pull,4,131072,31.443,31.673,31.800,31.922,ok
pull,8,4096,2.992,3.181,3.330,3.402,ok
pull,8,8192,4.009,4.093,4.249,4.264,ok
pull,8,16384,5.876,5.968,6.129,6.152,ok
pull,8,32768,9.592,9.788,9.900,9.973,ok
pull,8,65536,16.932,17.302,17.396,17.466,ok
pull,8,131072,31.690,31.907,32.083,32.150,ok
pull,16,4096,3.131,3.309,3.442,3.464,ok
pull,16,8192,4.065,4.196,4.426,4.467,ok
pull,16,16384,5.956,6.067,6.301,6.428,ok
pull,16,32768,9.683,9.906,9.989,10.032,ok
pull,16,65536,17.142,17.302,17.478,17.536,ok
pull,16,131072,31.918,32.150,32.325,32.399,ok
pull,32,4096,3.408,3.608,3.730,3.770,ok
pull,32,8192,4.319,4.562,4.669,4.730,ok
pull,32,16384,6.205,6.378,6.525,6.569,ok
pull,32,32768,9.943,10.086,10.210,10.269,ok
pull,32,65536,17.390,17.594,17.785,17.830,ok
pull,32,131072,32.227,32.467,32.612,32.685,ok
