=== push-vs-pull completion signalling, 32-way logical fan-in max ===
target GPU 0 (NVIDIA H20), 3 source GPU(s): 1 2 3
rounds 300 (+50 warmup)   threads/CTA 256   slot stride 131072 B
clock64 calibration: 1829.0 cycles/us (lock clocks or this drifts with DVFS)

=== signal ===
 fanin       size     min(us)     p50(us)     p95(us)     p99(us)   verify
     1       4096        2.26        2.27        2.27        2.28   ok
     1       8192        3.15        3.16        3.17        3.17   ok
     1      16384        4.91        4.93        4.94        4.95   ok
     1      32768        8.42        8.47        8.50        8.50   ok
     1      65536       15.40       15.45       15.49       15.51   ok
     1     131072       29.30       29.39       29.46       29.48   ok
     2       4096        2.60        2.68        2.69        2.71   ok
     2       8192        3.45        3.57        3.59        3.72   ok
     2      16384        5.22        5.34        5.36        5.41   ok
     2      32768        8.73        8.88        8.92        8.96   ok
     2      65536       15.73       15.86       15.92       15.96   ok
     2     131072       29.69       29.80       29.87       29.94   ok
     4       4096        3.05        3.14        3.29        3.31   ok
     4       8192        3.79        3.81        3.99        4.09   ok
     4      16384        5.55        5.73        5.85        5.99   ok
     4      32768        9.54        9.72        9.89        9.91   ok
     4      65536       16.66       16.82       16.91       17.00   ok
     4     131072       31.44       31.67       31.80       31.92   ok
     8       4096        2.99        3.18        3.33        3.40   ok
     8       8192        4.01        4.09        4.25        4.26   ok
     8      16384        5.88        5.97        6.13        6.15   ok
     8      32768        9.59        9.79        9.90        9.97   ok
     8      65536       16.93       17.30       17.40       17.47   ok
     8     131072       31.69       31.91       32.08       32.15   ok
    16       4096        3.13        3.31        3.44        3.46   ok
    16       8192        4.06        4.20        4.43        4.47   ok
    16      16384        5.96        6.07        6.30        6.43   ok
    16      32768        9.68        9.91        9.99       10.03   ok
    16      65536       17.14       17.30       17.48       17.54   ok
    16     131072       31.92       32.15       32.33       32.40   ok
    32       4096        3.41        3.61        3.73        3.77   ok
    32       8192        4.32        4.56        4.67        4.73   ok
    32      16384        6.20        6.38        6.53        6.57   ok
    32      32768        9.94       10.09       10.21       10.27   ok
    32      65536       17.39       17.59       17.79       17.83   ok
    32     131072       32.23       32.47       32.61       32.68   ok

