m,n,k,world,S,chunk_rows,chunk_mib,mode,streams,t_full_us,t_seg_us,t_comm_us,t_ovl_us,seg_eff,comm_gbps,overlap_eff,e2e_tflops,verify
8192,8192,8192,4,1,2048,32.000,pull,1,7887.73,8173.07,289.20,8205.05,0.9651,348.07,0.8894,134.0,-
8192,8192,8192,4,2,1024,16.000,pull,1,7887.73,9358.01,314.05,9390.85,0.8429,320.53,0.8954,117.1,-
8192,8192,8192,4,4,512,8.000,pull,1,7887.73,9405.69,368.53,9446.05,0.8386,273.15,0.8905,116.4,-
8192,8192,8192,4,8,256,4.000,pull,1,7887.73,9529.24,466.50,9563.69,0.8277,215.78,0.9261,115.0,-
8192,8192,8192,4,16,128,2.000,pull,1,7887.73,19002.27,719.49,19086.00,0.4151,139.91,0.8836,57.6,-
8192,8192,8192,4,32,64,1.000,pull,1,7887.73,37983.38,1287.53,38116.50,0.2077,78.18,0.8966,28.8,-
