m,n,k,world,S,chunk_rows,chunk_mib,mode,streams,t_full_us,t_seg_us,t_comm_us,t_ovl_us,seg_eff,comm_gbps,overlap_eff,e2e_tflops,verify
8192,8192,8192,4,1,2048,32.000,push,3,7887.31,8172.73,262.85,8204.05,0.9651,382.97,0.8808,134.0,-
8192,8192,8192,4,2,1024,16.000,push,3,7887.31,9369.10,262.46,9396.30,0.8418,383.53,0.8964,117.0,-
8192,8192,8192,4,4,512,8.000,push,3,7887.31,9406.89,262.37,9447.73,0.8385,383.66,0.8443,116.4,-
8192,8192,8192,4,8,256,4.000,push,3,7887.31,9510.59,262.42,9564.41,0.8293,383.59,0.7949,115.0,-
8192,8192,8192,4,16,128,2.000,push,3,7887.31,19026.97,270.33,19099.30,0.4145,372.37,0.7324,57.6,-
8192,8192,8192,4,32,64,1.000,push,3,7887.31,37994.22,294.75,38140.85,0.2076,341.53,0.5025,28.8,-
